timestamp,endpoint,property_id,response_time_ms,status_code,request_size_bytes,response_size_bytes,success,error_message,scenario,top_k_value,min_score_value,top_percentile_value,batch_size
2025-07-18T23:08:33.775922,single_property,7240,1.3401508331298828,200,32,75622,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.777285,single_property,7241,1.3720989227294922,200,32,67868,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.778677,single_property,7242,1.253366470336914,200,32,71659,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.779952,single_property,7243,0.8914470672607422,200,32,64952,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.780854,single_property,7244,1.0595321655273438,200,32,87306,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.781930,single_property,7245,0.9279251098632812,200,32,33623,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.782873,single_property,7246,1.1677742004394531,200,32,100103,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.784052,single_property,7247,1.0275840759277344,200,32,100629,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.785089,single_property,7248,0.7116794586181641,200,32,43038,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.785855,single_property,7249,1.0161399841308594,200,32,100214,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.786888,single_property,7250,1.1827945709228516,200,32,92013,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.788090,single_property,7251,1.3766288757324219,200,32,99683,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.789494,single_property,7252,1.7611980438232422,200,32,92806,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.791277,single_property,7253,1.832723617553711,200,32,99466,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.793140,single_property,7254,1.425027847290039,200,32,38296,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.794587,single_property,7255,1.4455318450927734,200,32,91530,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.796051,single_property,7256,1.1823177337646484,200,32,66281,True,,high_threshold,,0.7,,
2025-07-18T23:08:33.797304,single_property,7257,1.0380744934082031,200,44,4929,True,,top_k_5,5,0.5,,
